e69de29bb2d1      0B .nojekyll
8b137891791f      1B e3sm_diags.egg-info/dependency_links.txt
c6e1b1aedbbc     11B e3sm_diags.egg-info/top_level.txt
3edab0d617e2     21B .gitignore
2115018fdd90     22B acme_diags/__init__.py
0ac23cb0ad6b     23B acme_diags/__init__.py
219404135747     23B acme_diags/__init__.py
43ef892b29ac     23B build/lib/acme_diags/__init__.py
4a665187cca0     23B acme_diags/__init__.py
a15abb083f44     23B acme_diags/__init__.py
d7197db3e548     23B acme_diags/__init__.py
eeb65c4f4979     23B acme_diags/__init__.py
e6cb5d6e7d80     24B acme_diags/__init__.py
9164fbdcc1bf     28B conda/conda_build_config.yaml
a328eb668193     28B conda/conda_build_config.yaml
6db50dd66d39     30B build/lib/acme_diags/driver/utils/__init__.py
cec0eb6319d9     31B build/lib/acme_diags/viewer/__init__.py
a914a38e29e5     35B .gitignore
5bb1e33399a9     38B conda/conda_build_config.yaml
454867c2ef4f     40B tests/system/all_sets_results/viewer/taylor-diagram-data/ANN_metrics_taylor_diag.csv
eeedf15f10d9     41B acme_diags/plot/cartopy/taylor_diagram_plot.py
f474b6fdae45     43B tests/test.sh
85c795b91815     44B acme_diags/driver/utils/__init__.py
1ffc8fc22a1b     46B acme_diags/driver/utils/__init__.py
8aa6c288f61f     54B _build/html/master/_static/style.css
880c5c9568ba     61B acme_diags/__init__.py
08646409d5d2     69B acme_diags/model_to_obs/prov/cmd_used.txt
e1c1f488db2f     69B acme_diags/driver/default_diags/qbo_model_vs_model.cfg
36559a03eed4     70B index.html
59ce53d3507b     72B .ipynb_checkpoints/Untitled-checkpoint.ipynb
e2964025d5a6     72B acme_diags/driver/utils/__init__.py
a92ecb28542a     78B index.html
a9a2b4f553b8     78B tests/system/all_sets_results/prov/cmd_used.txt
ed177bca40e5     80B all_sets_results/prov/cmd_used.txt
7a818c65d112     81B tests/system/all_sets.py
0b4a6fd30965     84B acme_diags/__init__.py
897fe439c456     84B acme_diags/__init__.py
f5bb0436421a     84B acme_diags/__init__.py
7107cec93a97     90B _build/html/master/_static/plus.png
d96755fdaf8b     90B _build/html/master/_static/minus.png
f4cc6f7a11eb     90B source/examples/index.rst
31c699808e81     92B sample_output/modTS_vs_modTS_3years/prov/cmd_used.txt
3ec30994c5ee     92B sample_output/modTS_vs_modTS_3years/prov/cmd_used.txt
6dfda50fe024     94B acme_diags/__init__.py
775c49522ef1    101B acme_diags/driver/default_diags/qbo_model_vs_obs.cfg
2434c269ec0d    102B acme_diags/model_to_obs_meridional_mean/prov/cmd_used.txt
6638349ea9ef    104B docs/html/_sources/quickguides/old/index.rst.txt
69f04e807606    105B acme_diags/table/lat_lon/ANN_metrics_table.csv
09c7eb856948    106B acme_diags/__init__.py
2c03258172f5    106B acme_diags/__init__.py
3dfd6a15cc2c    106B acme_diags/__init__.py
3fc890d132bb    106B acme_diags/__init__.py
4ed702ffa3ab    106B acme_diags/__init__.py
5e5fe19c112b    106B acme_diags/__init__.py
651fe0e38b46    106B acme_diags/__init__.py
84c927ba3f0a    106B acme_diags/__init__.py
adbb09059be1    106B acme_diags/__init__.py
bdcf76581c00    106B acme_diags/__init__.py
be36d340b461    106B acme_diags/__init__.py
ca4b74776645    106B acme_diags/__init__.py
d4ac928d8d6f    106B build/lib/acme_diags/__init__.py
db469b6da87e    106B acme_diags/__init__.py
f5c927caaf8e    106B acme_diags/__init__.py~
ff30f98beaae    106B acme_diags/__init__.py
f6e0e852fb85    107B acme_diags/__init__.py
480898245c88    121B source/examples/index.rst
dad18b35c199    122B acme_diags/driver/default_diags/qbo_model_vs_obs.cfg
ae559b872285    124B README.md
ccdc1f1600ca    127B README.md
d8ce6119c65e    134B docs/html/_sources/quickguides/old/index.rst.txt
72c88af768c5    135B acme_diags/driver/default_diags/streamflow_model_vs_model.cfg
d1c54abdf99e    135B acme_diags/driver/acme_diags.egg-info/SOURCES.txt
3d92227b0f2f    142B tests/test.sh
efa69ac243df    146B _build_old/html-v2-3-0/_sources/dev_guide/index.rst.txt
577f4a40daa1    148B source/examples/index.rst
4aeb273617ec    149B examples/model-vs-obs/mydiags.cfg
69fb48bd94a8    153B acme_diags/driver/default_diags/streamflow_model_vs_model.cfg
d3c33fa7ce0c    154B docs/html/_sources/quickguides/index.rst.txt
3c398e0adb04    155B tests/system/all_sets_results/viewer/table-data/ANN_metrics_table.csv
3e44f4a31472    157B docs/source/_templates/layout.html
4fce89cc9b95    157B docs/html/_sources/dev_guide/index.rst.txt
3309fccbc7db    160B acme_diags/table_all/lat_lon/ANN_metrics_table.csv
bea40c894b13    160B _build/html/master/_sources/dev_guide/index.rst.txt
b539dcca832d    161B acme_diags/driver/control_runs/DJF_metrics_taylor_diag_B1850_v0.csv
7686fc21651e    163B e3sm_diags.egg-info/entry_points.txt
afa7f102b3b8    163B acme_diags/driver/control_runs/MAM_metrics_taylor_diag_B1850_v0.csv
0c34ba5e14a2    164B acme_diags/driver/control_runs/SON_metrics_taylor_diag_B1850_v0.csv
629a25fc8af5    164B acme_diags/driver/control_runs/JJA_metrics_taylor_diag_B1850_v0.csv
23ce3b328e52    166B docs/html/_sources/quickguides/index.rst.txt
344ab1169ebe    168B docs/html-v2-2-0/_sources/quickguides/index.rst.txt
516c6eb74d50    168B acme_diags/driver/__pycache__/__init__.cpython-37.pyc
735112de517e    168B docs/html/_sources/quickguides/index.rst.txt
b14c900c41d3    168B acme_diags/viewer/__pycache__/__init__.cpython-37.pyc
4a6ba3217b54    173B acme_diags/set4_diags_test.json
7507e4d9649e    173B acme_diags/derivations/__pycache__/__init__.cpython-37.pyc
3b6de42852e7    174B source/examples/index.rst
477a258809fc    174B acme_diags/plot/cartopy/__pycache__/__init__.cpython-37.pyc
755fb7451c8e    174B docs/html/_sources/quickguides/index.rst.txt
a9c340391cf3    174B acme_diags/set4_diags_test.json
326421cc1856    178B build/lib/acme_diags/metrics/__init__.py
aceba00e1df1    186B acme_diags/driver/default_diags/diurnal_cycle_model_vs_model.cfg
6f0af9d11fc9    188B _build/html/master/_sources/quickguides/index.rst.txt
be1bc8914471    188B acme_diags/plotset5/2017-04-28_15:59:30/index.json
c5775f42de72    188B source/quickguides/index.rst~
825ee0545ad1    193B docs/examples/temp-at-diff-levels-model-vs-obs/mydiags.json
d0b0ed276b86    194B docs/html/_static/documentation_options.js
025baa7671af    199B docs/html/_sources/quickguides/old/index.rst.txt
1b3bdad2ceff    202B docs/html/_static/down.png
2a940a7da7c1    203B docs/html/_static/up.png
37955100bf8c    203B acme_diags/set5_test.json
90976404b3a0    203B source/examples/index.rst
f4280a658863    204B acme_diags/plotset5/testresults/index.json
a662b02094f2    205B acme_diags/test_set3/index.json
b5edb9593cab    206B acme_diags/metrics/__init__.py
f2978b7d32b5    206B acme_diags/plotset5/example_json/set5_diags_TRMM.json
3581ebb4972b    208B acme_diags/plot/colormaps/diverging_bwr_r.rgb
4b38bf7ac52f    208B acme_diags/plot/colormaps/diverging_bwr.rgb
f45d60e09a05    208B acme_diags/driver/default_diags/streamflow_model_vs_obs.cfg
2e9050e95e1f    209B source/quickguides/index.rst~
bbd02ff3c398    209B acme_diags/plotset5/set5_diags_MERRA.json
acee3b68efbb    214B docs/html/_static/up-pressed.png
252ee28d4760    221B acme_diags/plotset5/mydiags_model2model.json
5756c8cad885    222B docs/html/_static/down-pressed.png
a87b10aecbff    223B acme_diags/set4_diags_test.json
dc5c9b1c587e    223B acme_diags/plotset5/mydiags_model2model.json
a5a14277c9e7    227B acme_diags/plotset5/set5_diags_HadISST.json
5a422a73c373    228B sample_output/modTS_vs_modTS_3years/viewer/taylor-diagram-data/JJA_metrics_taylor_diag.csv
6d2ad7a15477    228B sample_output/modTS_vs_modTS_3years/viewer/taylor-diagram-data/MAM_metrics_taylor_diag.csv
0147fdadb8a6    230B docs/html/.buildinfo
04d685bd0572    230B docs/html/.buildinfo
116822f22f97    230B docs/html/.buildinfo
1257f85d519b    230B docs/html/.buildinfo
2092651704ce    230B docs/html/.buildinfo
243ee1d39023    230B _build/html/tc_analysis/.buildinfo
354556c8fbb0    230B docs/html/.buildinfo
45b70c3e80ad    230B docs/html/.buildinfo
531db5e44181    230B docs/html/.buildinfo
7c100b9d851d    230B docs/html/.buildinfo
850fd94f280d    230B sample_output/modTS_vs_modTS_3years/viewer/taylor-diagram-data/DJF_metrics_taylor_diag.csv
9b9e9a9d3724    230B _build/html/master/.buildinfo
a2299b34dab4    230B _build/html/master/.buildinfo
a5f9a60839f4    230B docs/html/.buildinfo
aaab38e37cff    230B _build_old/html-v2-3-0/.buildinfo
b5edf4c3d2a2    230B docs/html/.buildinfo
b665306976e7    230B docs/html/.buildinfo
c65b589a00bc    230B docs/html/.buildinfo
c6ba82f7a905    230B docs/html/.buildinfo
c92cabc45230    230B docs/html/.buildinfo
e1c477680729    230B docs/html/.buildinfo
ec2d7748bd69    230B docs/html/_sources/examples/index.rst.txt
f14cc3df3c2b    230B docs/html/.buildinfo
f502a7fa95f2    230B docs/html/.buildinfo
01c042cfa1bf    231B acme_diags/driver/default_diags/streamflow_model_vs_obs.cfg
2e1914163745    231B sample_output/modTS_vs_modTS_3years/viewer/taylor-diagram-data/SON_metrics_taylor_diag.csv
3e1b346ea9bf    231B acme_diags.egg-info/PKG-INFO
469bb9eb4ac8    231B acme_diags/driver/acme_diags.egg-info/PKG-INFO
db694e279ad3    231B sample_output/modTS_vs_modTS_3years/viewer/taylor-diagram-data/ANN_metrics_taylor_diag.csv
38e85a35a9a3    232B source/quickguides/index.rst~
af9e5dadd01c    233B acme_diags/metrics/min_cdms.py
f8a3da4c3fef    233B acme_diags/metrics/max_cdms.py
38c832ef30b4    234B acme_diags/tier1b_cloud/index.json
